link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
85,15300,15400,1,158.97,2,2300,72,motorway,1,"LINESTRING (-112.1132653 33.6622174, -112.1132656 33.6629618, -112.1132461 33.6636510)",87,,,,,auto
86,276700,15600,1,85.15,2,1600,60,secondary,4,"LINESTRING (-112.1085263 33.6694943, -112.1085391 33.6700296, -112.1085552 33.6702058, -112.1085566 33.6702213, -112.1085767 33.6702580)",88,,,,,auto
87,15701,15800,1,8.7,2,1600,60,secondary,4,"LINESTRING (-112.1085187 33.6683119, -112.1085192 33.6683904)",89,,,,,auto
88,7502,7402,1,717.86,1,2300,72,motorway,1,"LINESTRING (-112.1081768 33.6692123, -112.1086166 33.6692878, -112.1089799 33.6693393, -112.1095159 33.6693768, -112.1099609 33.6694120, -112.1101279 33.6694310, -112.1103629 33.6694689, -112.1105829 33.6695288, -112.1107909 33.6695937, -112.1110239 33.6696899, -112.1111299 33.6697439, -112.1113359 33.6698596, -112.1114369 33.6699243, -112.1115679 33.6700169, -112.1117219 33.6701391, -112.1118429 33.6702617, -112.1119619 33.6703866, -112.1120609 33.6705100, -112.1121669 33.6706768, -112.1122379 33.6707947, -112.1123289 33.6709815, -112.1123839 33.6711255, -112.1124289 33.6712717, -112.1124569 33.6714356, -112.1124779 33.6716206, -112.1125808 33.6732667)",90,,,,,auto
89,7600,15902,1,272.91,2,2300,72,motorway,1,"LINESTRING (-112.1141770 33.6670880, -112.1142108 33.6668530, -112.1142198 33.6666177, -112.1142128 33.6663553, -112.1141628 33.6658151, -112.1141108 33.6651264, -112.1140868 33.6648309, -112.1141562 33.6646407)",91,,,,,auto
90,16001,16102,1,34.15,1,2300,120,motorway,1,"LINESTRING (-112.1132437 33.6677427, -112.1132750 33.6680496)",92,,,,,auto
91,16201,16102,1,34.85,4,2300,104,motorway,1,"LINESTRING (-112.1133087 33.6677366, -112.1132750 33.6680496)",93,,,,,auto
92,3402,16300,1,608.2,4,2300,104,motorway,1,"LINESTRING (-112.1136299 33.6677637, -112.1137017 33.6668694, -112.1137527 33.6663783, -112.1137861 33.6657934, -112.1138382 33.6651262, -112.1138755 33.6645863, -112.1139198 33.6639855, -112.1139445 33.6636635, -112.1140023 33.6629671, -112.1140541 33.6622898)",94,,,,,auto
93,16401,16500,1,39.04,5,2300,104,motorway,1,"LINESTRING (-112.1131828 33.6692398, -112.1131542 33.6695911)",95,,,,,auto
94,16601,3402,1,165.62,5,2300,104,motorway,1,"LINESTRING (-112.1135228 33.6692548, -112.1135819 33.6685083, -112.1136299 33.6677637)",96,,,,,auto
